date,state,district,pincode,bio_age_5_17,bio_age_17_
20-10-2025,Tamil Nadu,Chennai,600024,0,5
20-10-2025,Tamil Nadu,Chennai,600026,0,1
20-10-2025,Tamil Nadu,Chennai,600088,0,2
20-10-2025,Tamil Nadu,Chennai,600090,0,1
20-10-2025,Tamil Nadu,Chennai,600100,0,1
20-10-2025,Tamil Nadu,Chennai,600107,0,2
20-10-2025,Tamil Nadu,Chennai,600125,0,2
19-10-2025,Tamil Nadu,Chennai,600013,1,2
19-10-2025,Tamil Nadu,Chennai,600018,0,1
19-10-2025,Tamil Nadu,Chennai,600042,2,4
19-10-2025,Tamil Nadu,Chennai,600081,0,4
19-10-2025,Tamil Nadu,Chennai,600097,0,7
19-10-2025,Tamil Nadu,Chennai,600099,1,6
19-10-2025,Tamil Nadu,Chennai,600112,0,1
19-10-2025,Tamil Nadu,Chennai,600119,1,8
24-10-2025,Tamil Nadu,Chennai,600057,0,4
24-10-2025,Tamil Nadu,Chennai,600125,0,11
23-10-2025,Tamil Nadu,Chennai,600077,0,2
23-10-2025,Tamil Nadu,Chennai,600099,3,16
26-10-2025,Tamil Nadu,Chennai,600016,0,3
26-10-2025,Tamil Nadu,Chennai,600019,1,4
26-10-2025,Tamil Nadu,Chennai,600034,0,3
26-10-2025,Tamil Nadu,Chennai,600037,0,3
26-10-2025,Tamil Nadu,Chennai,600061,0,2
26-10-2025,Tamil Nadu,Chennai,600077,0,1
26-10-2025,Tamil Nadu,Chennai,600085,2,0
26-10-2025,Tamil Nadu,Chennai,600115,0,3
26-10-2025,Tamil Nadu,Chennai,600119,0,5
26-10-2025,Tamil Nadu,Chennai,600125,2,6
25-10-2025,Tamil Nadu,Chennai,600066,2,5
27-10-2025,Tamil Nadu,Chennai,600066,0,2
27-10-2025,Tamil Nadu,Chennai,600068,0,2
18-10-2025,Tamil Nadu,Chennai,600019,2,12
18-10-2025,Tamil Nadu,Chennai,600089,0,7
22-10-2025,Tamil Nadu,Chennai,600061,3,9
22-10-2025,Tamil Nadu,Chennai,600068,0,4
22-10-2025,Tamil Nadu,Chennai,600095,1,12
22-10-2025,Tamil Nadu,Chennai,600103,0,2
22-10-2025,Tamil Nadu,Chennai,600117,0,3
21-10-2025,Tamil Nadu,Chennai,600077,0,2
21-10-2025,Tamil Nadu,Chennai,600086,2,3
21-10-2025,Tamil Nadu,Chennai,600119,3,7
02-11-2025,Tamil Nadu,Chennai,600028,0,2
02-11-2025,Tamil Nadu,Chennai,600037,0,6
02-11-2025,Tamil Nadu,Chennai,600061,0,2
02-11-2025,Tamil Nadu,Chennai,600077,0,3
02-11-2025,Tamil Nadu,Chennai,600087,0,4
02-11-2025,Tamil Nadu,Chennai,600100,1,1
02-11-2025,Tamil Nadu,Chennai,600108,0,2
02-11-2025,Tamil Nadu,Chennai,600115,1,2
02-11-2025,Tamil Nadu,Chennai,600116,0,8
06-11-2025,Tamil Nadu,Chennai,600009,0,1
06-11-2025,Tamil Nadu,Chennai,600060,1,6
06-11-2025,Tamil Nadu,Chennai,600068,0,7
06-11-2025,Tamil Nadu,Chennai,600080,1,2
06-11-2025,Tamil Nadu,Chennai,600089,0,6
10-11-2025,Tamil Nadu,Chennai,600058,1,3
10-11-2025,Tamil Nadu,Chennai,600126,0,2
09-11-2025,Tamil Nadu,Chennai,600077,1,2
09-11-2025,Tamil Nadu,Chennai,600080,4,0
09-11-2025,Tamil Nadu,Chennai,600089,0,1
09-11-2025,Tamil Nadu,Chennai,600099,1,7
09-11-2025,Tamil Nadu,Chennai,600115,0,2
09-11-2025,Tamil Nadu,Chennai,600117,0,1
09-11-2025,Tamil Nadu,Chennai,600125,0,5
04-11-2025,Tamil Nadu,Chennai,600050,0,9
04-11-2025,Tamil Nadu,Chennai,600060,0,3
05-11-2025,Tamil Nadu,Chennai,600057,0,4
05-11-2025,Tamil Nadu,Chennai,600058,0,2
05-11-2025,Tamil Nadu,Chennai,600060,0,5
05-11-2025,Tamil Nadu,Chennai,600114,1,3
05-11-2025,Tamil Nadu,Chennai,600117,0,1
05-11-2025,Tamil Nadu,Chennai,600125,0,18
11-11-2025,Tamil Nadu,Chennai,600037,0,7
11-11-2025,Tamil Nadu,Chennai,600053,0,4
11-11-2025,Tamil Nadu,Chennai,600077,0,3
11-11-2025,Tamil Nadu,Chennai,600080,0,1
11-11-2025,Tamil Nadu,Chennai,600103,0,2
11-11-2025,Tamil Nadu,Chennai,600114,0,4
01-11-2025,Tamil Nadu,Chennai,600051,1,3
01-11-2025,Tamil Nadu,Chennai,600068,0,5
01-11-2025,Tamil Nadu,Chennai,600077,0,2
01-11-2025,Tamil Nadu,Chennai,600089,1,2
01-11-2025,Tamil Nadu,Chennai,600103,0,2
30-10-2025,Tamil Nadu,Chennai,600060,0,6
30-10-2025,Tamil Nadu,Chennai,600087,0,11
30-10-2025,Tamil Nadu,Chennai,600103,0,2
29-10-2025,Tamil Nadu,Chennai,600080,1,7
28-10-2025,Tamil Nadu,Chennai,600103,0,1
31-10-2025,Tamil Nadu,Chennai,600058,0,5
31-10-2025,Tamil Nadu,Chennai,600117,0,3
13-10-2025,Tamil Nadu,Chennai,600053,0,4
13-10-2025,Tamil Nadu,Chennai,600057,0,8
13-10-2025,Tamil Nadu,Chennai,600068,2,1
13-10-2025,Tamil Nadu,Chennai,600117,0,1
14-10-2025,Tamil Nadu,Chennai,600058,0,3
14-10-2025,Tamil Nadu,Chennai,600060,0,1
14-10-2025,Tamil Nadu,Chennai,600103,0,2
14-10-2025,Tamil Nadu,Chennai,600114,1,1
15-10-2025,Tamil Nadu,Chennai,600051,0,1
15-10-2025,Tamil Nadu,Chennai,600057,1,3
15-10-2025,Tamil Nadu,Chennai,600077,0,3
16-10-2025,Tamil Nadu,Chennai,600077,0,1
17-10-2025,Tamil Nadu,Chennai,600089,0,5
17-10-2025,Tamil Nadu,Chennai,600095,0,2
19-08-2025,Tamil Nadu,Chennai,600027,0,1
20-08-2025,Tamil Nadu,Chennai,600036,0,2
20-08-2025,Tamil Nadu,Chennai,600060,0,1
21-08-2025,Tamil Nadu,Chennai,600009,0,1
21-08-2025,Tamil Nadu,Chennai,600077,0,1
16-08-2025,Tamil Nadu,Chennai,600050,0,1
17-08-2025,Tamil Nadu,Chennai,600084,1,1
17-08-2025,Tamil Nadu,Chennai,600119,0,1
17-08-2025,Tamil Nadu,Chennai,600125,0,1
06-09-2025,Tamil Nadu,Chennai,600095,2,7
07-09-2025,Tamil Nadu,Chennai,600004,2,2
07-09-2025,Tamil Nadu,Chennai,600010,0,2
07-09-2025,Tamil Nadu,Chennai,600037,0,1
07-09-2025,Tamil Nadu,Chennai,600087,0,1
07-09-2025,Tamil Nadu,Chennai,600097,0,5
07-09-2025,Tamil Nadu,Chennai,600113,2,1
07-09-2025,Tamil Nadu,Chennai,600119,0,9
01-09-2025,Tamil Nadu,Chennai,600037,0,3
01-09-2025,Tamil Nadu,Chennai,600060,0,5
01-09-2025,Tamil Nadu,Chennai,600101,0,2
31-08-2025,Tamil Nadu,Chennai,600007,0,2
31-08-2025,Tamil Nadu,Chennai,600018,0,2
31-08-2025,Tamil Nadu,Chennai,600066,0,1
31-08-2025,Tamil Nadu,Chennai,600090,0,1
31-08-2025,Tamil Nadu,Chennai,600113,0,1
31-08-2025,Tamil Nadu,Chennai,600119,0,1
31-08-2025,Tamil Nadu,Chennai,600126,0,2
22-08-2025,Tamil Nadu,Chennai,600061,0,1
22-08-2025,Tamil Nadu,Chennai,600077,0,1
22-08-2025,Tamil Nadu,Chennai,600079,0,1
23-08-2025,Tamil Nadu,Chennai,600037,0,1
23-08-2025,Tamil Nadu,Chennai,600057,0,1
23-08-2025,Tamil Nadu,Chennai,600087,1,1
23-08-2025,Tamil Nadu,Chennai,600089,0,1
23-08-2025,Tamil Nadu,Chennai,600125,0,1
30-08-2025,Tamil Nadu,Chennai,600053,0,2
30-08-2025,Tamil Nadu,Chennai,600061,1,5
30-08-2025,Tamil Nadu,Chennai,600077,0,4
30-08-2025,Tamil Nadu,Chennai,600117,0,1
28-08-2025,Tamil Nadu,Chennai,600019,0,7
28-08-2025,Tamil Nadu,Chennai,600051,0,1
28-08-2025,Tamil Nadu,Chennai,600053,2,1
28-08-2025,Tamil Nadu,Chennai,600103,1,0
28-08-2025,Tamil Nadu,Chennai,600126,0,2
18-08-2025,Tamil Nadu,Chennai,600050,0,1
18-08-2025,Tamil Nadu,Chennai,600053,0,2
18-08-2025,Tamil Nadu,Chennai,600077,0,1
18-08-2025,Tamil Nadu,Chennai,600080,1,4
02-07-2025,Tamil Nadu,Chennai,600095,2,8
02-07-2025,Tamil Nadu,Chennai,600099,0,3
02-07-2025,Tamil Nadu,Chennai,600126,1,4
04-07-2025,Tamil Nadu,Chennai,600089,0,2
03-07-2025,Tamil Nadu,Chennai,600077,2,3
03-07-2025,Tamil Nadu,Chennai,600103,0,2
11-07-2025,Tamil Nadu,Chennai,600037,0,6
11-07-2025,Tamil Nadu,Chennai,600060,0,1
11-07-2025,Tamil Nadu,Chennai,600103,0,2
11-07-2025,Tamil Nadu,Chennai,600125,1,9
07-07-2025,Tamil Nadu,Chennai,600077,0,3
07-07-2025,Tamil Nadu,Chennai,600089,0,5
07-07-2025,Tamil Nadu,Chennai,600101,0,1
10-07-2025,Tamil Nadu,Chennai,600050,0,1
10-07-2025,Tamil Nadu,Chennai,600068,0,1
10-07-2025,Tamil Nadu,Chennai,600090,0,6
10-07-2025,Tamil Nadu,Chennai,600103,0,1
06-07-2025,Tamil Nadu,Chennai,600003,0,1
06-07-2025,Tamil Nadu,Chennai,600010,0,3
06-07-2025,Tamil Nadu,Chennai,600034,0,1
06-07-2025,Tamil Nadu,Chennai,600087,0,1
06-07-2025,Tamil Nadu,Chennai,600088,1,2
06-07-2025,Tamil Nadu,Chennai,600103,0,1
06-07-2025,Tamil Nadu,Chennai,600113,2,1
06-07-2025,Tamil Nadu,Chennai,600115,0,3
06-07-2025,Tamil Nadu,Chennai,600116,0,8
06-07-2025,Tamil Nadu,Chennai,600129,0,4
05-07-2025,Tamil Nadu,Chennai,600035,1,5
05-07-2025,Tamil Nadu,Chennai,600036,0,2
05-07-2025,Tamil Nadu,Chennai,600038,0,1
05-07-2025,Tamil Nadu,Chennai,600117,0,6
01-07-2025,Tamil Nadu,Chennai,600050,0,1
01-07-2025,Tamil Nadu,Chennai,600116,1,10
21-06-2025,Tamil Nadu,Chennai,600037,0,1
21-06-2025,Tamil Nadu,Chennai,600058,0,1
21-06-2025,Tamil Nadu,Chennai,600103,0,2
21-06-2025,Tamil Nadu,Chennai,600116,0,8
21-06-2025,Tamil Nadu,Chennai,600126,0,4
20-06-2025,Tamil Nadu,Chennai,600022,0,1
22-06-2025,Tamil Nadu,Chennai,600005,0,1
22-06-2025,Tamil Nadu,Chennai,600030,0,1
22-06-2025,Tamil Nadu,Chennai,600097,0,4
22-06-2025,Tamil Nadu,Chennai,600115,0,1
22-06-2025,Tamil Nadu,Chennai,600116,0,6
22-06-2025,Tamil Nadu,Chennai,600129,1,4
23-06-2025,Tamil Nadu,Chennai,600050,0,1
23-06-2025,Tamil Nadu,Chennai,600058,0,1
23-06-2025,Tamil Nadu,Chennai,600103,0,1
23-06-2025,Tamil Nadu,Chennai,600126,0,2
24-06-2025,Tamil Nadu,Chennai,600095,0,1
17-06-2025,Tamil Nadu,Chennai,600080,0,1
18-06-2025,Tamil Nadu,Chennai,600058,0,1
19-06-2025,Tamil Nadu,Chennai,600037,0,1
19-06-2025,Tamil Nadu,Chennai,600060,0,1
19-06-2025,Tamil Nadu,Chennai,600068,0,1
19-06-2025,Tamil Nadu,Chennai,600080,0,1
19-06-2025,Tamil Nadu,Chennai,600086,1,2
19-06-2025,Tamil Nadu,Chennai,600095,0,1
26-06-2025,Tamil Nadu,Chennai,600057,0,2
26-06-2025,Tamil Nadu,Chennai,600103,0,1
26-06-2025,Tamil Nadu,Chennai,600125,0,1
29-06-2025,Tamil Nadu,Chennai,600014,0,5
29-06-2025,Tamil Nadu,Chennai,600028,1,3
29-06-2025,Tamil Nadu,Chennai,600032,0,1
29-06-2025,Tamil Nadu,Chennai,600034,0,1
29-06-2025,Tamil Nadu,Chennai,600041,2,3
29-06-2025,Tamil Nadu,Chennai,600088,0,3
29-06-2025,Tamil Nadu,Chennai,600094,0,6
29-06-2025,Tamil Nadu,Chennai,600097,0,5
29-06-2025,Tamil Nadu,Chennai,600115,0,2
25-06-2025,Tamil Nadu,Chennai,600079,0,2
25-06-2025,Tamil Nadu,Chennai,600088,1,0
25-06-2025,Tamil Nadu,Chennai,600126,0,3
28-06-2025,Tamil Nadu,Chennai,600087,0,4
28-06-2025,Tamil Nadu,Chennai,600088,0,8
27-06-2025,Tamil Nadu,Chennai,600016,0,4
27-06-2025,Tamil Nadu,Chennai,600037,0,2
27-06-2025,Tamil Nadu,Chennai,600126,0,1
28-06-2025,Tamil Nadu,Chennai,600114,0,1
28-06-2025,Tamil Nadu,Chennai,600119,2,20
19-07-2025,Tamil Nadu,Chennai,600022,0,1
19-07-2025,Tamil Nadu,Chennai,600089,0,7
19-07-2025,Tamil Nadu,Chennai,600095,0,7
19-07-2025,Tamil Nadu,Chennai,600103,0,1
19-07-2025,Tamil Nadu,Chennai,600117,3,6
13-07-2025,Tamil Nadu,Chennai,600007,2,2
13-07-2025,Tamil Nadu,Chennai,600018,0,4
13-07-2025,Tamil Nadu,Chennai,600042,0,7
13-07-2025,Tamil Nadu,Chennai,600088,1,2
13-07-2025,Tamil Nadu,Chennai,600095,0,4
13-07-2025,Tamil Nadu,Chennai,600115,0,2
13-07-2025,Tamil Nadu,Chennai,600119,1,7
14-07-2025,Tamil Nadu,Chennai,600016,1,4
14-07-2025,Tamil Nadu,Chennai,600077,0,3
14-07-2025,Tamil Nadu,Chennai,600088,0,3
14-07-2025,Tamil Nadu,Chennai,600114,0,2
14-07-2025,Tamil Nadu,Chennai,600126,0,4
08-07-2025,Tamil Nadu,Chennai,600087,0,9
08-07-2025,Tamil Nadu,Chennai,600089,1,1
09-07-2025,Tamil Nadu,Chennai,600037,0,1
09-07-2025,Tamil Nadu,Chennai,600087,0,4
09-07-2025,Tamil Nadu,Chennai,600088,1,7
09-07-2025,Tamil Nadu,Chennai,600089,0,3
09-07-2025,Tamil Nadu,Chennai,600108,1,2
09-07-2025,Tamil Nadu,Chennai,600117,0,5
09-07-2025,Tamil Nadu,Chennai,600126,0,1
15-06-2025,Tamil Nadu,Chennai,600019,0,2
15-06-2025,Tamil Nadu,Chennai,600041,0,9
15-06-2025,Tamil Nadu,Chennai,600107,0,4
11-06-2025,Tamil Nadu,Chennai,600006,0,3
11-06-2025,Tamil Nadu,Chennai,600038,0,4
11-06-2025,Tamil Nadu,Chennai,600095,0,2
10-06-2025,Tamil Nadu,Chennai,600084,1,2
10-06-2025,Tamil Nadu,Chennai,600087,0,1
10-06-2025,Tamil Nadu,Chennai,600089,0,1
10-06-2025,Tamil Nadu,Chennai,600129,0,11
13-06-2025,Tamil Nadu,Chennai,600096,0,15
08-06-2025,Tamil Nadu,Chennai,600015,1,0
08-06-2025,Tamil Nadu,Chennai,600049,3,5
08-06-2025,Tamil Nadu,Chennai,600102,0,1
09-06-2025,Tamil Nadu,Chennai,600001,6,26
09-06-2025,Tamil Nadu,Chennai,600014,2,7
09-06-2025,Tamil Nadu,Chennai,600017,2,9
09-06-2025,Tamil Nadu,Chennai,600021,8,38
09-06-2025,Tamil Nadu,Chennai,600030,0,11
09-06-2025,Tamil Nadu,Chennai,600036,0,1
09-06-2025,Tamil Nadu,Chennai,600040,3,12
09-06-2025,Tamil Nadu,Chennai,600081,17,40
09-06-2025,Tamil Nadu,Chennai,600082,0,20
09-06-2025,Tamil Nadu,Chennai,600088,0,2
09-06-2025,Tamil Nadu,Chennai,600090,0,6
09-06-2025,Tamil Nadu,Chennai,600107,1,1
09-06-2025,Tamil Nadu,Chennai,600113,5,8
09-06-2025,Tamil Nadu,Chennai,600116,0,1
09-06-2025,Tamil Nadu,Chennai,600119,0,2
11-06-2025,Tamil Nadu,Chennai,600007,1,15
11-06-2025,Tamil Nadu,Chennai,600010,4,12
11-06-2025,Tamil Nadu,Chennai,600011,7,32
11-06-2025,Tamil Nadu,Chennai,600017,4,14
11-06-2025,Tamil Nadu,Chennai,600030,1,7
11-06-2025,Tamil Nadu,Chennai,600039,8,54
11-06-2025,Tamil Nadu,Chennai,600041,1,26
11-06-2025,Tamil Nadu,Chennai,600042,5,13
11-06-2025,Tamil Nadu,Chennai,600049,6,10
11-06-2025,Tamil Nadu,Chennai,600107,2,9
11-06-2025,Tamil Nadu,Chennai,600108,0,1
10-06-2025,Tamil Nadu,Chennai,600005,5,10
10-06-2025,Tamil Nadu,Chennai,600007,2,7
10-06-2025,Tamil Nadu,Chennai,600008,1,1
10-06-2025,Tamil Nadu,Chennai,600011,6,33
10-06-2025,Tamil Nadu,Chennai,600012,11,40
10-06-2025,Tamil Nadu,Chennai,600028,4,14
10-06-2025,Tamil Nadu,Chennai,600033,4,14
10-06-2025,Tamil Nadu,Chennai,600039,6,48
10-06-2025,Tamil Nadu,Chennai,600042,4,14
10-06-2025,Tamil Nadu,Chennai,600078,4,20
10-06-2025,Tamil Nadu,Chennai,600091,0,5
10-06-2025,Tamil Nadu,Chennai,600092,2,11
10-06-2025,Tamil Nadu,Chennai,600093,1,3
10-06-2025,Tamil Nadu,Chennai,600096,0,3
10-06-2025,Tamil Nadu,Chennai,600099,0,2
10-06-2025,Tamil Nadu,Chennai,600119,0,3
15-06-2025,Tamil Nadu,Chennai,600013,1,0
15-06-2025,Tamil Nadu,Chennai,600023,1,1
15-06-2025,Tamil Nadu,Chennai,600026,5,2
15-06-2025,Tamil Nadu,Chennai,600040,0,1
15-06-2025,Tamil Nadu,Chennai,600083,0,2
15-06-2025,Tamil Nadu,Chennai,600118,5,3
15-06-2025,Tamil Nadu,Chennai,600119,1,1
14-06-2025,Tamil Nadu,Chennai,600001,13,15
14-06-2025,Tamil Nadu,Chennai,600017,14,7
14-06-2025,Tamil Nadu,Chennai,600049,6,7
14-06-2025,Tamil Nadu,Chennai,600061,0,1
14-06-2025,Tamil Nadu,Chennai,600086,1,1
14-06-2025,Tamil Nadu,Chennai,600088,2,0
14-06-2025,Tamil Nadu,Chennai,600113,7,2
14-06-2025,Tamil Nadu,Chennai,600125,0,1
16-06-2025,Tamil Nadu,Chennai,600006,3,5
16-06-2025,Tamil Nadu,Chennai,600009,1,0
16-06-2025,Tamil Nadu,Chennai,600012,10,56
16-06-2025,Tamil Nadu,Chennai,600014,1,10
16-06-2025,Tamil Nadu,Chennai,600023,2,35
16-06-2025,Tamil Nadu,Chennai,600030,3,4
16-06-2025,Tamil Nadu,Chennai,600031,0,1
16-06-2025,Tamil Nadu,Chennai,600032,3,11
16-06-2025,Tamil Nadu,Chennai,600033,2,1
16-06-2025,Tamil Nadu,Chennai,600038,0,1
16-06-2025,Tamil Nadu,Chennai,600039,6,32
16-06-2025,Tamil Nadu,Chennai,600050,0,1
16-06-2025,Tamil Nadu,Chennai,600068,0,1
16-06-2025,Tamil Nadu,Chennai,600083,2,11
16-06-2025,Tamil Nadu,Chennai,600084,0,3
16-06-2025,Tamil Nadu,Chennai,600086,0,3
16-06-2025,Tamil Nadu,Chennai,600099,0,2
16-06-2025,Tamil Nadu,Chennai,600112,1,8
12-06-2025,Tamil Nadu,Chennai,600008,0,1
12-06-2025,Tamil Nadu,Chennai,600011,4,40
12-06-2025,Tamil Nadu,Chennai,600023,6,23
12-06-2025,Tamil Nadu,Chennai,600028,2,11
12-06-2025,Tamil Nadu,Chennai,600029,4,11
12-06-2025,Tamil Nadu,Chennai,600049,0,14
12-06-2025,Tamil Nadu,Chennai,600090,0,2
12-06-2025,Tamil Nadu,Chennai,600095,0,1
12-06-2025,Tamil Nadu,Chennai,600097,0,4
12-06-2025,Tamil Nadu,Chennai,600100,0,5
12-06-2025,Tamil Nadu,Chennai,600103,0,1
12-06-2025,Tamil Nadu,Chennai,600106,2,18
12-06-2025,Tamil Nadu,Chennai,600112,0,5
12-06-2025,Tamil Nadu,Chennai,600115,1,0
13-06-2025,Tamil Nadu,Chennai,600006,1,1
13-06-2025,Tamil Nadu,Chennai,600008,1,4
13-06-2025,Tamil Nadu,Chennai,600009,0,1
13-06-2025,Tamil Nadu,Chennai,600013,6,22
13-06-2025,Tamil Nadu,Chennai,600015,8,21
13-06-2025,Tamil Nadu,Chennai,600024,0,8
13-06-2025,Tamil Nadu,Chennai,600034,0,2
13-06-2025,Tamil Nadu,Chennai,600036,1,1
13-06-2025,Tamil Nadu,Chennai,600061,0,1
13-06-2025,Tamil Nadu,Chennai,600081,15,35
13-06-2025,Tamil Nadu,Chennai,600085,0,1
13-06-2025,Tamil Nadu,Chennai,600097,2,2
13-06-2025,Tamil Nadu,Chennai,600099,0,4
17-06-2025,Tamil Nadu,Chennai,600013,8,28
17-06-2025,Tamil Nadu,Chennai,600014,0,12
17-06-2025,Tamil Nadu,Chennai,600024,2,14
17-06-2025,Tamil Nadu,Chennai,600041,4,32
17-06-2025,Tamil Nadu,Chennai,600042,0,8
17-06-2025,Tamil Nadu,Chennai,600082,4,29
17-06-2025,Tamil Nadu,Chennai,600084,1,1
17-06-2025,Tamil Nadu,Chennai,600092,2,13
17-06-2025,Tamil Nadu,Chennai,600096,1,0
17-06-2025,Tamil Nadu,Chennai,600119,2,4
17-06-2025,Tamil Nadu,Chennai,600129,1,4
18-06-2025,Tamil Nadu,Chennai,600011,1,9
18-06-2025,Tamil Nadu,Chennai,600014,0,3
18-06-2025,Tamil Nadu,Chennai,600038,1,0
18-06-2025,Tamil Nadu,Chennai,600041,3,13
18-06-2025,Tamil Nadu,Chennai,600078,5,14
18-06-2025,Tamil Nadu,Chennai,600082,2,21
18-06-2025,Tamil Nadu,Chennai,600100,1,4
18-06-2025,Tamil Nadu,Chennai,600103,0,1
18-06-2025,Tamil Nadu,Chennai,600106,2,6
22-05-2025,Tamil Nadu,Chennai,600002,14,14
22-05-2025,Tamil Nadu,Chennai,600008,1,5
22-05-2025,Tamil Nadu,Chennai,600010,9,13
22-05-2025,Tamil Nadu,Chennai,600015,8,10
22-05-2025,Tamil Nadu,Chennai,600016,0,1
22-05-2025,Tamil Nadu,Chennai,600019,0,3
22-05-2025,Tamil Nadu,Chennai,600024,6,6
22-05-2025,Tamil Nadu,Chennai,600029,3,5
22-05-2025,Tamil Nadu,Chennai,600035,2,3
22-05-2025,Tamil Nadu,Chennai,600037,0,2
22-05-2025,Tamil Nadu,Chennai,600049,10,8
22-05-2025,Tamil Nadu,Chennai,600081,28,41
22-05-2025,Tamil Nadu,Chennai,600086,0,3
22-05-2025,Tamil Nadu,Chennai,600091,2,3
22-05-2025,Tamil Nadu,Chennai,600097,2,1
22-05-2025,Tamil Nadu,Chennai,600100,3,6
22-05-2025,Tamil Nadu,Chennai,600118,24,32
23-05-2025,Tamil Nadu,Chennai,600003,3,3
23-05-2025,Tamil Nadu,Chennai,600004,17,25
23-05-2025,Tamil Nadu,Chennai,600007,3,8
23-05-2025,Tamil Nadu,Chennai,600010,6,16
23-05-2025,Tamil Nadu,Chennai,600013,11,7
23-05-2025,Tamil Nadu,Chennai,600018,8,11
23-05-2025,Tamil Nadu,Chennai,600019,3,3
23-05-2025,Tamil Nadu,Chennai,600020,2,3
23-05-2025,Tamil Nadu,Chennai,600029,3,7
23-05-2025,Tamil Nadu,Chennai,600037,0,2
23-05-2025,Tamil Nadu,Chennai,600079,0,1
23-05-2025,Tamil Nadu,Chennai,600081,23,35
23-05-2025,Tamil Nadu,Chennai,600085,1,3
23-05-2025,Tamil Nadu,Chennai,600107,2,8
25-05-2025,Tamil Nadu,Chennai,600002,0,1
25-05-2025,Tamil Nadu,Chennai,600015,1,3
25-05-2025,Tamil Nadu,Chennai,600082,0,1
25-05-2025,Tamil Nadu,Chennai,600083,1,1
