date,state,district,pincode,demo_age_5_17,demo_age_17_
04-09-2025,Tamil Nadu,Chennai,600060,0,8
04-09-2025,Tamil Nadu,Chennai,600061,1,8
04-09-2025,Tamil Nadu,Chennai,600068,0,2
04-09-2025,Tamil Nadu,Chennai,600082,3,25
04-09-2025,Tamil Nadu,Chennai,600086,0,3
04-09-2025,Tamil Nadu,Chennai,600115,0,6
04-09-2025,Tamil Nadu,Chennai,600117,0,2
05-09-2025,Tamil Nadu,Chennai,600002,0,1
05-09-2025,Tamil Nadu,Chennai,600005,1,5
05-09-2025,Tamil Nadu,Chennai,600021,0,11
05-09-2025,Tamil Nadu,Chennai,600026,1,3
05-09-2025,Tamil Nadu,Chennai,600037,0,2
05-09-2025,Tamil Nadu,Chennai,600077,0,1
05-09-2025,Tamil Nadu,Chennai,600080,0,1
05-09-2025,Tamil Nadu,Chennai,600081,0,9
05-09-2025,Tamil Nadu,Chennai,600092,1,6
05-09-2025,Tamil Nadu,Chennai,600097,0,2
05-09-2025,Tamil Nadu,Chennai,600099,1,17
05-09-2025,Tamil Nadu,Chennai,600106,0,4
07-09-2025,Tamil Nadu,Chennai,600004,2,2
07-09-2025,Tamil Nadu,Chennai,600005,0,5
07-09-2025,Tamil Nadu,Chennai,600010,0,2
07-09-2025,Tamil Nadu,Chennai,600014,2,2
07-09-2025,Tamil Nadu,Chennai,600023,0,3
07-09-2025,Tamil Nadu,Chennai,600037,0,1
07-09-2025,Tamil Nadu,Chennai,600042,0,12
07-09-2025,Tamil Nadu,Chennai,600082,0,4
07-09-2025,Tamil Nadu,Chennai,600087,0,1
07-09-2025,Tamil Nadu,Chennai,600097,0,4
07-09-2025,Tamil Nadu,Chennai,600107,1,2
07-09-2025,Tamil Nadu,Chennai,600113,2,1
07-09-2025,Tamil Nadu,Chennai,600119,0,8
07-09-2025,Tamil Nadu,Chennai,600125,1,3
06-09-2025,Tamil Nadu,Chennai,600001,5,35
06-09-2025,Tamil Nadu,Chennai,600006,1,2
06-09-2025,Tamil Nadu,Chennai,600010,5,10
06-09-2025,Tamil Nadu,Chennai,600015,1,16
06-09-2025,Tamil Nadu,Chennai,600038,0,3
06-09-2025,Tamil Nadu,Chennai,600087,3,11
06-09-2025,Tamil Nadu,Chennai,600091,3,18
06-09-2025,Tamil Nadu,Chennai,600095,2,6
06-09-2025,Tamil Nadu,Chennai,600106,9,17
06-09-2025,Tamil Nadu,Chennai,600107,4,13
06-09-2025,Tamil Nadu,Chennai,600113,0,8
06-09-2025,Tamil Nadu,Chennai,600118,13,44
06-09-2025,Tamil Nadu,Chennai,600125,0,7
06-09-2025,Tamil Nadu,Chennai,600129,1,9
09-09-2025,Tamil Nadu,Chennai,600001,3,35
09-09-2025,Tamil Nadu,Chennai,600002,1,21
09-09-2025,Tamil Nadu,Chennai,600004,12,28
09-09-2025,Tamil Nadu,Chennai,600007,2,9
09-09-2025,Tamil Nadu,Chennai,600010,2,10
09-09-2025,Tamil Nadu,Chennai,600020,1,12
09-09-2025,Tamil Nadu,Chennai,600022,0,1
09-09-2025,Tamil Nadu,Chennai,600030,0,9
09-09-2025,Tamil Nadu,Chennai,600034,1,7
09-09-2025,Tamil Nadu,Chennai,600035,1,1
09-09-2025,Tamil Nadu,Chennai,600037,0,11
09-09-2025,Tamil Nadu,Chennai,600039,7,28
09-09-2025,Tamil Nadu,Chennai,600049,2,13
09-09-2025,Tamil Nadu,Chennai,600068,0,2
09-09-2025,Tamil Nadu,Chennai,600077,0,2
09-09-2025,Tamil Nadu,Chennai,600085,0,3
09-09-2025,Tamil Nadu,Chennai,600086,1,8
09-09-2025,Tamil Nadu,Chennai,600087,0,4
09-09-2025,Tamil Nadu,Chennai,600090,1,3
09-09-2025,Tamil Nadu,Chennai,600112,2,11
09-09-2025,Tamil Nadu,Chennai,600125,2,10
08-09-2025,Tamil Nadu,Chennai,600005,6,26
08-09-2025,Tamil Nadu,Chennai,600011,3,30
08-09-2025,Tamil Nadu,Chennai,600012,5,59
08-09-2025,Tamil Nadu,Chennai,600015,1,22
08-09-2025,Tamil Nadu,Chennai,600017,1,26
08-09-2025,Tamil Nadu,Chennai,600018,1,5
08-09-2025,Tamil Nadu,Chennai,600021,9,55
08-09-2025,Tamil Nadu,Chennai,600082,6,17
08-09-2025,Tamil Nadu,Chennai,600088,1,4
08-09-2025,Tamil Nadu,Chennai,600092,4,13
08-09-2025,Tamil Nadu,Chennai,600108,0,1
08-09-2025,Tamil Nadu,Chennai,600115,0,10
08-09-2025,Tamil Nadu,Chennai,600119,2,11
08-09-2025,Tamil Nadu,Chennai,600125,0,7
10-09-2025,Tamil Nadu,Chennai,600012,18,81
10-09-2025,Tamil Nadu,Chennai,600016,0,2
10-09-2025,Tamil Nadu,Chennai,600021,9,38
10-09-2025,Tamil Nadu,Chennai,600022,0,1
10-09-2025,Tamil Nadu,Chennai,600028,4,21
10-09-2025,Tamil Nadu,Chennai,600038,0,3
10-09-2025,Tamil Nadu,Chennai,600042,8,19
10-09-2025,Tamil Nadu,Chennai,600057,0,5
10-09-2025,Tamil Nadu,Chennai,600058,0,1
10-09-2025,Tamil Nadu,Chennai,600061,0,7
10-09-2025,Tamil Nadu,Chennai,600084,3,9
10-09-2025,Tamil Nadu,Chennai,600094,4,30
10-09-2025,Tamil Nadu,Chennai,600097,2,25
10-09-2025,Tamil Nadu,Chennai,600100,0,5
10-09-2025,Tamil Nadu,Chennai,600103,1,1
10-09-2025,Tamil Nadu,Chennai,600115,0,10
10-09-2025,Tamil Nadu,Chennai,600117,0,2
10-09-2025,Tamil Nadu,Chennai,600125,2,4
11-09-2025,Tamil Nadu,Chennai,600008,0,1
11-09-2025,Tamil Nadu,Chennai,600010,8,18
11-09-2025,Tamil Nadu,Chennai,600016,0,3
11-09-2025,Tamil Nadu,Chennai,600020,2,10
11-09-2025,Tamil Nadu,Chennai,600025,0,1
11-09-2025,Tamil Nadu,Chennai,600026,0,17
11-09-2025,Tamil Nadu,Chennai,600031,1,8
11-09-2025,Tamil Nadu,Chennai,600078,4,26
11-09-2025,Tamil Nadu,Chennai,600081,11,53
11-09-2025,Tamil Nadu,Chennai,600094,2,27
11-09-2025,Tamil Nadu,Chennai,600097,0,12
11-09-2025,Tamil Nadu,Chennai,600100,2,8
11-09-2025,Tamil Nadu,Chennai,600102,1,5
11-09-2025,Tamil Nadu,Chennai,600108,0,1
11-09-2025,Tamil Nadu,Chennai,600113,1,3
11-09-2025,Tamil Nadu,Chennai,600129,1,9
12-09-2025,Tamil Nadu,Chennai,600002,8,31
12-09-2025,Tamil Nadu,Chennai,600003,2,2
12-09-2025,Tamil Nadu,Chennai,600006,0,8
12-09-2025,Tamil Nadu,Chennai,600008,0,9
12-09-2025,Tamil Nadu,Chennai,600015,5,27
12-09-2025,Tamil Nadu,Chennai,600016,0,0
12-09-2025,Tamil Nadu,Chennai,600029,4,10
12-09-2025,Tamil Nadu,Chennai,600030,1,6
12-09-2025,Tamil Nadu,Chennai,600033,4,14
12-09-2025,Tamil Nadu,Chennai,600049,8,25
12-09-2025,Tamil Nadu,Chennai,600061,2,2
12-09-2025,Tamil Nadu,Chennai,600084,0,3
12-09-2025,Tamil Nadu,Chennai,600090,0,3
12-09-2025,Tamil Nadu,Chennai,600096,0,15
12-09-2025,Tamil Nadu,Chennai,600103,0,5
12-09-2025,Tamil Nadu,Chennai,600106,4,19
12-09-2025,Tamil Nadu,Chennai,600115,1,9
12-09-2025,Tamil Nadu,Chennai,600126,0,1
12-09-2025,Tamil Nadu,Chennai,600129,0,5
13-09-2025,Tamil Nadu,Chennai,600003,0,3
13-09-2025,Tamil Nadu,Chennai,600005,14,26
13-09-2025,Tamil Nadu,Chennai,600013,2,10
13-09-2025,Tamil Nadu,Chennai,600018,5,11
13-09-2025,Tamil Nadu,Chennai,600037,2,4
13-09-2025,Tamil Nadu,Chennai,600066,0,2
13-09-2025,Tamil Nadu,Chennai,600077,0,4
13-09-2025,Tamil Nadu,Chennai,600080,0,4
13-09-2025,Tamil Nadu,Chennai,600082,2,21
13-09-2025,Tamil Nadu,Chennai,600090,1,6
13-09-2025,Tamil Nadu,Chennai,600094,4,19
13-09-2025,Tamil Nadu,Chennai,600099,0,15
13-09-2025,Tamil Nadu,Chennai,600102,2,3
13-09-2025,Tamil Nadu,Chennai,600113,1,10
13-09-2025,Tamil Nadu,Chennai,600115,0,1
15-09-2025,Tamil Nadu,Chennai,600011,4,28
15-09-2025,Tamil Nadu,Chennai,600013,2,17
15-09-2025,Tamil Nadu,Chennai,600017,2,15
15-09-2025,Tamil Nadu,Chennai,600018,2,17
15-09-2025,Tamil Nadu,Chennai,600023,5,33
15-09-2025,Tamil Nadu,Chennai,600031,1,2
15-09-2025,Tamil Nadu,Chennai,600057,0,4
15-09-2025,Tamil Nadu,Chennai,600058,1,3
15-09-2025,Tamil Nadu,Chennai,600060,0,5
15-09-2025,Tamil Nadu,Chennai,600099,0,25
15-09-2025,Tamil Nadu,Chennai,600112,0,10
14-09-2025,Tamil Nadu,Chennai,600001,3,6
14-09-2025,Tamil Nadu,Chennai,600002,1,3
14-09-2025,Tamil Nadu,Chennai,600011,0,8
14-09-2025,Tamil Nadu,Chennai,600012,1,1
14-09-2025,Tamil Nadu,Chennai,600014,1,3
14-09-2025,Tamil Nadu,Chennai,600028,1,1
14-09-2025,Tamil Nadu,Chennai,600042,2,12
14-09-2025,Tamil Nadu,Chennai,600049,1,2
14-09-2025,Tamil Nadu,Chennai,600078,1,7
14-09-2025,Tamil Nadu,Chennai,600082,0,5
14-09-2025,Tamil Nadu,Chennai,600087,0,1
14-09-2025,Tamil Nadu,Chennai,600102,1,1
14-09-2025,Tamil Nadu,Chennai,600106,1,6
14-09-2025,Tamil Nadu,Chennai,600114,0,1
14-09-2025,Tamil Nadu,Chennai,600125,0,3
14-09-2025,Tamil Nadu,Chennai,600126,0,1
16-09-2025,Tamil Nadu,Chennai,600002,5,17
16-09-2025,Tamil Nadu,Chennai,600008,1,2
16-09-2025,Tamil Nadu,Chennai,600011,6,31
16-09-2025,Tamil Nadu,Chennai,600013,1,19
16-09-2025,Tamil Nadu,Chennai,600019,1,19
16-09-2025,Tamil Nadu,Chennai,600038,0,3
16-09-2025,Tamil Nadu,Chennai,600068,0,2
16-09-2025,Tamil Nadu,Chennai,600094,2,21
16-09-2025,Tamil Nadu,Chennai,600108,0,2
16-09-2025,Tamil Nadu,Chennai,600112,3,10
17-09-2025,Tamil Nadu,Chennai,600019,1,24
17-09-2025,Tamil Nadu,Chennai,600031,1,6
17-09-2025,Tamil Nadu,Chennai,600050,2,1
17-09-2025,Tamil Nadu,Chennai,600058,0,3
17-09-2025,Tamil Nadu,Chennai,600068,0,1
17-09-2025,Tamil Nadu,Chennai,600082,5,28
17-09-2025,Tamil Nadu,Chennai,600083,1,17
17-09-2025,Tamil Nadu,Chennai,600087,1,11
17-09-2025,Tamil Nadu,Chennai,600088,1,9
17-09-2025,Tamil Nadu,Chennai,600089,0,5
17-09-2025,Tamil Nadu,Chennai,600091,2,11
17-09-2025,Tamil Nadu,Chennai,600100,0,9
18-09-2025,Tamil Nadu,Chennai,600001,9,27
18-09-2025,Tamil Nadu,Chennai,600003,2,5
18-09-2025,Tamil Nadu,Chennai,600011,13,41
18-09-2025,Tamil Nadu,Chennai,600013,2,21
18-09-2025,Tamil Nadu,Chennai,600015,6,26
18-09-2025,Tamil Nadu,Chennai,600017,5,12
18-09-2025,Tamil Nadu,Chennai,600019,0,7
18-09-2025,Tamil Nadu,Chennai,600023,6,37
18-09-2025,Tamil Nadu,Chennai,600032,5,4
18-09-2025,Tamil Nadu,Chennai,600035,3,1
18-09-2025,Tamil Nadu,Chennai,600082,5,34
18-09-2025,Tamil Nadu,Chennai,600087,0,4
18-09-2025,Tamil Nadu,Chennai,600088,0,5
18-09-2025,Tamil Nadu,Chennai,600106,4,18
18-09-2025,Tamil Nadu,Chennai,600112,3,3
18-09-2025,Tamil Nadu,Chennai,600118,8,59
18-09-2025,Tamil Nadu,Chennai,600129,2,3
19-09-2025,Tamil Nadu,Chennai,600005,4,28
19-09-2025,Tamil Nadu,Chennai,600007,4,12
19-09-2025,Tamil Nadu,Chennai,600023,6,25
19-09-2025,Tamil Nadu,Chennai,600031,1,5
19-09-2025,Tamil Nadu,Chennai,600032,5,6
19-09-2025,Tamil Nadu,Chennai,600034,2,11
19-09-2025,Tamil Nadu,Chennai,600083,7,10
19-09-2025,Tamil Nadu,Chennai,600091,2,10
19-09-2025,Tamil Nadu,Chennai,600094,3,24
19-09-2025,Tamil Nadu,Chennai,600100,2,9
19-09-2025,Tamil Nadu,Chennai,600113,0,4
19-09-2025,Tamil Nadu,Chennai,600114,0,1
19-09-2025,Tamil Nadu,Chennai,600116,0,4
19-09-2025,Tamil Nadu,Chennai,600125,0,9
20-09-2025,Tamil Nadu,Chennai,600007,3,7
20-09-2025,Tamil Nadu,Chennai,600009,0,1
20-09-2025,Tamil Nadu,Chennai,600013,5,12
20-09-2025,Tamil Nadu,Chennai,600018,3,12
20-09-2025,Tamil Nadu,Chennai,600030,6,11
20-09-2025,Tamil Nadu,Chennai,600036,0,1
20-09-2025,Tamil Nadu,Chennai,600037,0,6
20-09-2025,Tamil Nadu,Chennai,600038,0,3
20-09-2025,Tamil Nadu,Chennai,600053,0,3
20-09-2025,Tamil Nadu,Chennai,600061,3,12
20-09-2025,Tamil Nadu,Chennai,600085,0,4
20-09-2025,Tamil Nadu,Chennai,600087,0,1
20-09-2025,Tamil Nadu,Chennai,600100,6,4
20-09-2025,Tamil Nadu,Chennai,600106,6,13
20-09-2025,Tamil Nadu,Chennai,600112,1,4
20-09-2025,Tamil Nadu,Chennai,600115,0,7
20-09-2025,Tamil Nadu,Chennai,600117,0,5
20-09-2025,Tamil Nadu,Chennai,600126,0,2
13-10-2025,Tamil Nadu,Chennai,600006,0,4
13-10-2025,Tamil Nadu,Chennai,600011,0,8
13-10-2025,Tamil Nadu,Chennai,600015,2,8
13-10-2025,Tamil Nadu,Chennai,600018,2,0
13-10-2025,Tamil Nadu,Chennai,600039,3,14
13-10-2025,Tamil Nadu,Chennai,600057,0,1
13-10-2025,Tamil Nadu,Chennai,600091,0,1
13-10-2025,Tamil Nadu,Chennai,600097,0,2
13-10-2025,Tamil Nadu,Chennai,600102,0,1
13-10-2025,Tamil Nadu,Chennai,600113,2,8
13-10-2025,Tamil Nadu,Chennai,600116,0,1
15-10-2025,Tamil Nadu,Chennai,600009,1,1
15-10-2025,Tamil Nadu,Chennai,600029,4,17
15-10-2025,Tamil Nadu,Chennai,600030,8,19
15-10-2025,Tamil Nadu,Chennai,600034,0,16
15-10-2025,Tamil Nadu,Chennai,600051,0,2
15-10-2025,Tamil Nadu,Chennai,600057,0,7
15-10-2025,Tamil Nadu,Chennai,600077,0,3
15-10-2025,Tamil Nadu,Chennai,600091,3,18
15-10-2025,Tamil Nadu,Chennai,600094,11,21
15-10-2025,Tamil Nadu,Chennai,600095,2,10
15-10-2025,Tamil Nadu,Chennai,600096,2,19
15-10-2025,Tamil Nadu,Chennai,600102,4,8
16-10-2025,Tamil Nadu,Chennai,600005,11,43
16-10-2025,Tamil Nadu,Chennai,600008,1,7
16-10-2025,Tamil Nadu,Chennai,600017,2,20
16-10-2025,Tamil Nadu,Chennai,600018,3,9
16-10-2025,Tamil Nadu,Chennai,600034,5,9
16-10-2025,Tamil Nadu,Chennai,600039,7,47
16-10-2025,Tamil Nadu,Chennai,600040,6,29
16-10-2025,Tamil Nadu,Chennai,600049,6,23
16-10-2025,Tamil Nadu,Chennai,600077,0,4
16-10-2025,Tamil Nadu,Chennai,600093,2,17
16-10-2025,Tamil Nadu,Chennai,600095,1,7
16-10-2025,Tamil Nadu,Chennai,600118,12,63
18-10-2025,Tamil Nadu,Chennai,600012,6,33
18-10-2025,Tamil Nadu,Chennai,600014,4,11
18-10-2025,Tamil Nadu,Chennai,600015,3,20
18-10-2025,Tamil Nadu,Chennai,600019,1,7
18-10-2025,Tamil Nadu,Chennai,600020,1,6
18-10-2025,Tamil Nadu,Chennai,600035,2,0
18-10-2025,Tamil Nadu,Chennai,600039,7,28
18-10-2025,Tamil Nadu,Chennai,600041,2,8
18-10-2025,Tamil Nadu,Chennai,600089,0,2
18-10-2025,Tamil Nadu,Chennai,600091,1,15
18-10-2025,Tamil Nadu,Chennai,600113,2,7
18-10-2025,Tamil Nadu,Chennai,600126,0,2
18-10-2025,Tamil Nadu,Chennai,600129,0,5
17-10-2025,Tamil Nadu,Chennai,600002,4,21
17-10-2025,Tamil Nadu,Chennai,600005,6,21
17-10-2025,Tamil Nadu,Chennai,600008,1,5
17-10-2025,Tamil Nadu,Chennai,600019,1,11
17-10-2025,Tamil Nadu,Chennai,600031,3,9
17-10-2025,Tamil Nadu,Chennai,600035,1,2
17-10-2025,Tamil Nadu,Chennai,600041,3,22
17-10-2025,Tamil Nadu,Chennai,600078,4,16
17-10-2025,Tamil Nadu,Chennai,600082,4,21
17-10-2025,Tamil Nadu,Chennai,600083,5,11
17-10-2025,Tamil Nadu,Chennai,600089,0,5
17-10-2025,Tamil Nadu,Chennai,600095,0,7
17-10-2025,Tamil Nadu,Chennai,600096,0,5
17-10-2025,Tamil Nadu,Chennai,600102,2,4
17-10-2025,Tamil Nadu,Chennai,600118,5,25
22-10-2025,Tamil Nadu,Chennai,600015,0,2
22-10-2025,Tamil Nadu,Chennai,600033,2,0
22-10-2025,Tamil Nadu,Chennai,600040,0,1
23-10-2025,Tamil Nadu,Chennai,600010,2,2
23-10-2025,Tamil Nadu,Chennai,600015,1,3
23-10-2025,Tamil Nadu,Chennai,600034,1,0
23-10-2025,Tamil Nadu,Chennai,600037,0,1
23-10-2025,Tamil Nadu,Chennai,600040,0,3
23-10-2025,Tamil Nadu,Chennai,600066,0,1
23-10-2025,Tamil Nadu,Chennai,600077,0,2
23-10-2025,Tamil Nadu,Chennai,600083,0,1
23-10-2025,Tamil Nadu,Chennai,600085,0,1
23-10-2025,Tamil Nadu,Chennai,600091,0,5
23-10-2025,Tamil Nadu,Chennai,600099,0,3
23-10-2025,Tamil Nadu,Chennai,600107,0,1
24-10-2025,Tamil Nadu,Chennai,600006,2,6
24-10-2025,Tamil Nadu,Chennai,600010,3,11
24-10-2025,Tamil Nadu,Chennai,600023,1,22
24-10-2025,Tamil Nadu,Chennai,600034,0,10
24-10-2025,Tamil Nadu,Chennai,600039,6,30
24-10-2025,Tamil Nadu,Chennai,600041,4,26
24-10-2025,Tamil Nadu,Chennai,600057,1,2
24-10-2025,Tamil Nadu,Chennai,600078,2,13
24-10-2025,Tamil Nadu,Chennai,600083,6,13
24-10-2025,Tamil Nadu,Chennai,600086,3,2
24-10-2025,Tamil Nadu,Chennai,600088,2,3
24-10-2025,Tamil Nadu,Chennai,600090,0,10
24-10-2025,Tamil Nadu,Chennai,600094,7,26
24-10-2025,Tamil Nadu,Chennai,600107,3,14
24-10-2025,Tamil Nadu,Chennai,600125,1,4
28-10-2025,Tamil Nadu,Chennai,600001,3,24
28-10-2025,Tamil Nadu,Chennai,600002,5,17
28-10-2025,Tamil Nadu,Chennai,600011,7,25
28-10-2025,Tamil Nadu,Chennai,600023,4,13
28-10-2025,Tamil Nadu,Chennai,600024,2,12
28-10-2025,Tamil Nadu,Chennai,600029,1,9
28-10-2025,Tamil Nadu,Chennai,600031,0,6
28-10-2025,Tamil Nadu,Chennai,600040,3,11
28-10-2025,Tamil Nadu,Chennai,600041,5,17
28-10-2025,Tamil Nadu,Chennai,600049,5,11
28-10-2025,Tamil Nadu,Chennai,600068,0,2
28-10-2025,Tamil Nadu,Chennai,600080,0,3
28-10-2025,Tamil Nadu,Chennai,600085,2,4
28-10-2025,Tamil Nadu,Chennai,600089,0,10
28-10-2025,Tamil Nadu,Chennai,600094,3,13
28-10-2025,Tamil Nadu,Chennai,600100,3,1
28-10-2025,Tamil Nadu,Chennai,600103,0,1
28-10-2025,Tamil Nadu,Chennai,600107,3,14
28-10-2025,Tamil Nadu,Chennai,600129,0,8
26-10-2025,Tamil Nadu,Chennai,600006,1,4
26-10-2025,Tamil Nadu,Chennai,600016,0,4
26-10-2025,Tamil Nadu,Chennai,600019,0,14
26-10-2025,Tamil Nadu,Chennai,600021,6,39
26-10-2025,Tamil Nadu,Chennai,600026,3,10
26-10-2025,Tamil Nadu,Chennai,600029,2,9
26-10-2025,Tamil Nadu,Chennai,600030,0,8
26-10-2025,Tamil Nadu,Chennai,600034,3,8
26-10-2025,Tamil Nadu,Chennai,600037,0,13
26-10-2025,Tamil Nadu,Chennai,600038,1,1
26-10-2025,Tamil Nadu,Chennai,600061,1,5
26-10-2025,Tamil Nadu,Chennai,600077,0,1
26-10-2025,Tamil Nadu,Chennai,600078,6,35
26-10-2025,Tamil Nadu,Chennai,600085,5,8
26-10-2025,Tamil Nadu,Chennai,600106,3,17
26-10-2025,Tamil Nadu,Chennai,600115,0,7
26-10-2025,Tamil Nadu,Chennai,600119,4,13
26-10-2025,Tamil Nadu,Chennai,600125,2,6
19-10-2025,Tamil Nadu,Chennai,600004,4,14
19-10-2025,Tamil Nadu,Chennai,600006,1,4
19-10-2025,Tamil Nadu,Chennai,600010,1,11
19-10-2025,Tamil Nadu,Chennai,600012,8,27
19-10-2025,Tamil Nadu,Chennai,600013,1,16
19-10-2025,Tamil Nadu,Chennai,600015,4,12
19-10-2025,Tamil Nadu,Chennai,600018,7,7
19-10-2025,Tamil Nadu,Chennai,600032,2,4
19-10-2025,Tamil Nadu,Chennai,600042,7,19
19-10-2025,Tamil Nadu,Chennai,600081,2,17
19-10-2025,Tamil Nadu,Chennai,600085,1,4
19-10-2025,Tamil Nadu,Chennai,600086,0,1
19-10-2025,Tamil Nadu,Chennai,600097,0,5
19-10-2025,Tamil Nadu,Chennai,600099,0,13
19-10-2025,Tamil Nadu,Chennai,600107,3,13
19-10-2025,Tamil Nadu,Chennai,600112,2,2
19-10-2025,Tamil Nadu,Chennai,600119,1,8
21-10-2025,Tamil Nadu,Chennai,600005,1,4
21-10-2025,Tamil Nadu,Chennai,600011,2,5
21-10-2025,Tamil Nadu,Chennai,600015,1,6
21-10-2025,Tamil Nadu,Chennai,600031,0,1
21-10-2025,Tamil Nadu,Chennai,600057,0,1
21-10-2025,Tamil Nadu,Chennai,600077,0,4
21-10-2025,Tamil Nadu,Chennai,600086,1,2
21-10-2025,Tamil Nadu,Chennai,600102,0,2
21-10-2025,Tamil Nadu,Chennai,600119,2,4
20-10-2025,Tamil Nadu,Chennai,600100,0,2
20-10-2025,Tamil Nadu,Chennai,600107,1,15
20-10-2025,Tamil Nadu,Chennai,600118,3,8
20-10-2025,Tamil Nadu,Chennai,600125,2,1
20-10-2025,Tamil Nadu,Chennai,600008,1,4
20-10-2025,Tamil Nadu,Chennai,600012,12,8
20-10-2025,Tamil Nadu,Chennai,600014,2,7
20-10-2025,Tamil Nadu,Chennai,600021,4,9
20-10-2025,Tamil Nadu,Chennai,600024,4,10
20-10-2025,Tamil Nadu,Chennai,600026,4,3
20-10-2025,Tamil Nadu,Chennai,600039,3,10
20-10-2025,Tamil Nadu,Chennai,600060,0,1
20-10-2025,Tamil Nadu,Chennai,600078,4,17
20-10-2025,Tamil Nadu,Chennai,600088,0,4
20-10-2025,Tamil Nadu,Chennai,600090,0,1
25-10-2025,Tamil Nadu,Chennai,600005,10,27
25-10-2025,Tamil Nadu,Chennai,600006,0,1
25-10-2025,Tamil Nadu,Chennai,600024,2,19
25-10-2025,Tamil Nadu,Chennai,600039,7,35
25-10-2025,Tamil Nadu,Chennai,600066,0,3
25-10-2025,Tamil Nadu,Chennai,600082,3,19
25-10-2025,Tamil Nadu,Chennai,600084,0,5
25-10-2025,Tamil Nadu,Chennai,600086,0,2
25-10-2025,Tamil Nadu,Chennai,600088,0,4
25-10-2025,Tamil Nadu,Chennai,600093,0,10
25-10-2025,Tamil Nadu,Chennai,600113,2,8
